id,day,words,links
444,444,"[""SALT"",""FAT"",""HOUSE"",""MOON"",""HORSESHOE"",""HANDLEBAR"",""GEAR"",""SAW""]","[""ELEMENTS OF COOKING,  PER SAMIN NOSRAT"",""___ CAT"",""FULL ___"",""LUCKY CHARMS MARSHMALLOWS"",""MUSTACHES"",""BIKE PARTS"",""THINGS WITH TEETH""]"
445,445,"[""FANG"",""CANINE"",""STONE"",""PECK"",""X"",""TICK"",""SPIDER"",""SUPER""]","[""TYPES OF TEETH"",""TWO LETTERS + NUMBER"",""IMPERIAL UNITS"",""KISS"",""SELECT, AS A BOX ON A FORM"",""ARACHNIDS"",""___ MAN SUPERHEROES""]"
446,446,"[""LUNGE"",""CURL"",""LOCK"",""SECURE"",""LAND"",""PERCH"",""SHARK"",""CROOK""]","[""GYM EXERCISES"",""BIT OF HAIR"",""ASSURE, AS A WIN"",""OBTAIN"",""COME DOWN TO REST"",""FISH"",""SWINDLER""]"
447,447,"[""PURE"",""TOTAL"",""SUM"",""MAROON"",""DESERT"",""FOREST"",""MINT"",""MANGO""]","[""ABSOLUTE"",""WHOLE AMOUNT"",""BAND NAMES MINUS NUMBERS"",""LEAVE HIGH AND DRY"",""BIOMES"",""SHADES OF GREEN"",""CHUTNEY VARIETIES""]"
448,448,"[""BOMB"",""LEMON"",""DATE"",""DIRTY"",""TWIST"",""FUDGE"",""CHERRY"",""BAR""]","[""FAILURE"",""FRUIT"",""PLAY ___"",""MARTINI SPECIFICATIONS"",""ALTER DECEPTIVELY"",""SUNDAE TOPPINGS"",""SLOT MACHINE SYMBOLS""]"
449,449,"[""CIDER"",""PORT"",""BOW"",""CARD"",""HEART"",""KIDNEY"",""LIMA"",""POLISH""]","[""FERMENTED ALCOHOLIC BEVERAGES"",""SHIP DIRECTIONS"",""GIFT-GIVING ACCESSORIES"",""SEEN ON VALENTINE’S DAY"",""ORGANS"",""BEANS"",""WORDS WITH TWO PRONUNCIATIONS""]"
450,450,"[""CONFRONT"",""BRAVE"",""UP"",""TWIST"",""FUDGE"",""CHERRY"",""BAR"",""ISLAND""]","[""STAND UP TO, AS A CHALLENGE"",""PIXAR MOVIES"",""MARTINI SPECIFICATIONS"",""ALTER DECEPTIVELY"",""SUNDAE TOPPINGS"",""SLOT MACHINE SYMBOLS"",""LAND SURROUNDED BY WATER""]"
451,451,"[""SLIPPERS"",""ROBE"",""CROWN"",""MELON"",""BEAN"",""PEANUT"",""CORN"",""BEET""]","[""THINGS IN A SPA LOCKER ROOM"",""STATUE OF LIBERTY FEATURES"",""SLANG FOR HEAD"",""FOOD SLANG FOR HEAD"",""MR. ___"",""KINDS OF COOKING OIL"",""VEGETABLES""]"
452,452,"[""CIGARETTE"",""PENCIL"",""HORSESHOE"",""MOON"",""PLANET"",""CRUNCH"",""MARS"",""SMART""]","[""ASSOCIATED WITH “STUB”"",""MUSTACHES"",""LUCKY CHARMS MARSHMALLOWS"",""CELESTIAL OBJECTS"",""“CAPTAINS”"",""CHOCOLATE BARS"",""TV SHOW TITLE SURNAMES""]"
453,453,"[""PUTTER"",""IRON"",""SPIDER"",""TICK"",""X"",""PECK"",""STONE"",""FORD""]","[""GOLF CLUBS"",""___ MAN SUPERHEROES"",""ARACHNIDS"",""SELECT, AS A BOX ON A FORM"",""KISS"",""IMPERIAL UNITS"",""BEST DIRECTOR OSCAR WINNERS""]"
454,454,"[""MANGO"",""MINT"",""FOREST"",""DESERT"",""GHOST"",""SPIRIT"",""FRONTIER"",""ADVENTURE""]","[""CHUTNEY VARIETIES"",""SHADES OF GREEN"",""BIOMES"",""RUDELY BREAK OFF CONTACT"",""APPARITIONS"",""AIRLINES""]"
455,455,"[""ACORN"",""CONE"",""PYRAMID"",""WHEEL"",""HANDLEBAR"",""HORSESHOE"",""MOON"",""PLANET""]","[""PRODUCED BY TREES"",""3-D SHAPES"",""CLASSIC GAME SHOWS, FAMILIARLY"",""BIKE PARTS"",""MUSTACHES"",""LUCKY CHARMS MARSHMALLOWS"",""CELESTIAL OBJECTS""]"
456,456,"[""ELM"",""JUMP"",""SPRING"",""TAP"",""PINCH"",""DASH"",""BOLT"",""ZIP""]","[""STREETS ON SCREEN"",""PROPEL INTO THE AIR"",""WATER SOURCES"",""TOUCHSCREEN GESTURES"",""LITTLE BIT, IN A RECIPE"",""RUN QUICKLY"",""MOVE QUICKLY""]"
457,457,"[""CRAB"",""BULL"",""JACK"",""SQUAT"",""DUCK"",""STRIKE"",""OUT"",""COPY""]","[""ZODIAC SYMBOLS"",""MALE ANIMALS"",""SLANG FOR ZERO"",""GET LOW"",""LUCKY ___"",""BASEBALL CALLS"",""RADIO LINGO""]"
458,458,"[""DIRTY"",""HONEY"",""SUGAR"",""ICE"",""GREEN"",""SCARLET"",""LOVE"",""RIGHT""]","[""KINDS OF BLOND"",""TERMS OF ENDEARMENT"",""CUBE-SHAPED"",""___LAND"",""CLUE CHARACTERS"",""___ LETTER"",""___ TRIANGLE""]"
459,459,"[""GET"",""SECURE"",""LOCK"",""BONE"",""STORM"",""FLASH"",""SECOND"",""MOLE""]","[""OBTAIN"",""ASSURE, AS A WIN"",""THINGS TO PICK"",""T-___"",""SUPERHEROES"",""BLINK OF AN EYE"",""UNITS OF MEASURE""]"
460,460,"[""BMW"",""JAGUAR"",""MINI"",""BABY"",""WAYNE"",""PRINCE"",""KING"",""QUEEN""]","[""CAR COMPANIES"",""CAR BRANDS"",""MODIFIERS MEANING “SMALL”"",""LIL ___ RAPPERS"",""SUPERHERO LAST NAMES"",""ROYAL TITLES"",""MATTRESS SIZES""]"
461,461,"[""CROISSANT"",""BANANA"",""MANGO"",""MINT"",""FOREST"",""DESERT"",""GHOST"",""SPIRIT""]","[""CRESCENT-SHAPED THINGS"",""TROPICAL FRUITS"",""CHUTNEY VARIETIES"",""SHADES OF GREEN"",""BIOMES"",""RUDELY BREAK OFF CONTACT"",""APPARITIONS""]"
462,462,"[""WAY"",""WHY"",""SEA"",""WONDER"",""FRY"",""WING"",""BRANCH"",""TRUNK""]","[""W + VOWEL SOUND"",""LETTER HOMOPHONES"",""MEMBERS OF A SEPTET"",""SMALL ___"",""APPETIZER UNIT"",""DIVISION"",""TREE FEATURES""]"
463,463,"[""BAWDY"",""BLUE"",""LOW"",""SHORT"",""SPARE"",""COPY"",""PARROT"",""MIRROR""]","[""INDECENT"",""SYNONYMS FOR SAD"",""INSUFFICIENT"",""SPARSE/LACKING"",""REPLACEMENT"",""SYNONYMS FOR IMITATE"",""IMITATE""]"
464,464,"[""BARON"",""KING"",""QUEEN"",""MATE"",""CHUM"",""FLY"",""GNAT"",""GNOME""]","[""ROYAL TITLES"",""MATTRESS SIZES"",""CHESS TERMS"",""FRIEND"",""FISHING TERMS"",""WINGED INSECTS"",""SILENT “G”""]"
465,465,"[""BUMP"",""SET"",""BIT"",""JOKE"",""DOZEN"",""GROSS"",""SUM"",""MAROON""]","[""VOLLEYBALL MOVES"",""COMEDIAN’S PERFORMANCE"",""COMEDIAN’S OUTPUT"",""DIRTY ___"",""WORDS FOR SPECIFIC QUANTITIES"",""WHOLE AMOUNT"",""BAND NAMES MINUS NUMBERS""]"
466,466,"[""CANAL"",""CHANNEL"",""MEDIUM"",""MEAL"",""ROOT"",""TRUNK"",""BEAK"",""WING""]","[""BODIES OF WATER"",""METHOD"",""HAPPY ___"",""SQUARE ___"",""TREE FEATURES"",""ANIMAL NOSES"",""BIRD FEATURES""]"
467,467,"[""GOOD"",""NOTHING"",""JACK"",""BULL"",""SCALES"",""DOWN"",""LOW"",""SHORT""]","[""___ BURGER"",""SLANG FOR ZERO"",""MALE ANIMALS"",""ZODIAC SYMBOLS"",""ANIMAL COVERINGS"",""SYNONYMS FOR SAD"",""INSUFFICIENT""]"
468,468,"[""BISHOP"",""POUND"",""CARROT"",""BEET"",""CARDINAL"",""SWIFT"",""MARS"",""CRUNCH""]","[""AMERICAN POETS"",""___ CAKE"",""VEGETABLES"",""THINGS THAT ARE RED"",""BIRDS"",""POP MEGASTARS"",""CHOCOLATE BARS""]"
469,469,"[""CHEST"",""SAFE"",""OUT"",""COPY"",""PARROT"",""MIRROR"",""GARLIC"",""BREAD""]","[""PLACE TO STORE VALUABLES"",""BASEBALL CALLS"",""RADIO LINGO"",""SYNONYMS FOR IMITATE"",""IMITATE"",""ANTI-VAMPIRE"",""GARLIC BREAD INGREDIENTS""]"
470,470,"[""GNAW"",""GNAT"",""FLY"",""CHUM"",""BUD"",""STALK"",""HUNT"",""SMART""]","[""SILENT “G”"",""WINGED INSECTS"",""FISHING TERMS"",""FRIEND"",""FLOWER PARTS"",""PURSUE"",""FICTIONAL SPIES""]"
471,471,"[""PINCH"",""TAP"",""SPRING"",""VAULT"",""HORSE"",""RABBIT"",""POT"",""CROCK""]","[""TOUCHSCREEN GESTURES"",""WATER SOURCES"",""JUMP INTO THE AIR"",""GYMNASTICS APPARATUS"",""CHINESE ZODIAC ANIMALS"",""JACK ___"",""COOKWEAR""]"
472,472,"[""BUTCHER"",""WAX"",""HONEY"",""SUGAR"",""ICE"",""GREEN"",""SCARLET"",""LOVE""]","[""___ PAPER"",""BEE CREATIONS"",""TERMS OF ENDEARMENT"",""CUBE-SHAPED"",""___LAND"",""CLUE CHARACTERS"",""___ LETTER""]"
473,473,"[""ELEPHANTS"",""CARS"",""UP"",""TWIST"",""FUDGE"",""CHERRY"",""BAR"",""ISLAND""]","[""THINGS WITH TRUNKS"",""PIXAR MOVIES"",""MARTINI SPECIFICATIONS"",""ALTER DECEPTIVELY"",""SUNDAE TOPPINGS"",""SLOT MACHINE SYMBOLS"",""LAND SURROUNDED BY WATER""]"
474,474,"[""CONCRETE"",""SOLID"",""GAS"",""WATER"",""FIRE"",""RED"",""TICKER"",""INFANT""]","[""SET, AS PLANS"",""STATES OF MATTER"",""MONTHLY BILLS"",""CLASSICAL ELEMENTS"",""___ ANT"",""___ TAPE""]"
475,475,"[""CIRCLE"",""BAND"",""SOUL"",""FUNK"",""TANG"",""BITE"",""WAVE"",""SHAKE""]","[""CIRCULAR SHAPES"",""RUBBER ___"",""MUSIC GENRES"",""STRONG SMELL"",""PIQUANCY"",""SOUND ___"",""GREETING GESTURES""]"
476,476,"[""BOO"",""SUGAR"",""ICE"",""GREEN"",""SCARLET"",""LOVE"",""RIGHT"",""YES""]","[""TERMS OF ENDEARMENT"",""CUBE-SHAPED"",""___LAND"",""CLUE CHARACTERS"",""___ LETTER"",""___ TRIANGLE"",""RESPONSE TO A CORRECT ANSWER""]"
477,477,"[""COMMAND"",""OPTION"",""TAB"",""CHECK"",""CAP"",""COVER"",""PAGE"",""LEAF""]","[""MAC KEYBOARD KEYS"",""KEYBOARD KEYS"",""THINGS TO PAY"",""RESTRICT"",""COVERINGS"",""PARTS OF A BOOK"",""PAPER IN A BOOK""]"
478,478,"[""RAY"",""CRAB"",""BULL"",""JACK"",""SQUAT"",""DUCK"",""STRIKE"",""OUT""]","[""SEA CREATURES"",""ZODIAC SYMBOLS"",""MALE ANIMALS"",""SLANG FOR ZERO"",""GET LOW"",""LUCKY ___"",""BASEBALL CALLS""]"
479,479,"[""FEATHER"",""BEAK"",""TRUNK"",""ROOT"",""MEAL"",""MEDIUM"",""CHANNEL"",""SOUND""]","[""BIRD FEATURES"",""ANIMAL NOSES"",""TREE FEATURES"",""SQUARE ___"",""HAPPY ___"",""METHOD"",""BODIES OF WATER""]"
480,480,"[""KETTLE"",""BIRD"",""AIRPLANE"",""THEM"",""US"",""OK"",""LA"",""DO""]","[""THINGS THAT WHISTLE"",""THINGS WITH WINGS"",""MOVIES WITH “!”"",""PRONOUNS"",""MAGAZINES"",""STATE ABBREVIATIONS""]"
481,481,"[""BUTTER"",""FIRE"",""WATER"",""LEAD"",""GUIDE"",""DIRECT"",""RUN"",""SPLIT""]","[""___FLY"",""CLASSICAL ELEMENTS"",""___ BALLOON"",""HELM"",""SHEPHERD"",""PRESIDE OVER"",""DEPART QUICKLY""]"
482,482,"[""FIAT"",""MINI"",""BABY"",""WAYNE"",""PRINCE"",""KING"",""QUEEN"",""MATE""]","[""CAR BRANDS"",""MODIFIERS MEANING “SMALL”"",""LIL ___ RAPPERS"",""SUPERHERO LAST NAMES"",""ROYAL TITLES"",""MATTRESS SIZES"",""CHESS TERMS""]"
483,483,"[""AMERICA"",""HOOK"",""SILVER"",""STAR"",""DASH"",""BOLT"",""ZIP"",""TIFF""]","[""CAPTAINS"",""FICTIONAL PIRATES"",""___ FISH THAT AREN’T FISH"",""___BOARD"",""RUN QUICKLY"",""MOVE QUICKLY"",""FILE EXTENSIONS""]"
484,484,"[""COBWEB"",""BAT"",""SPIDER"",""TICK"",""X"",""PECK"",""STONE"",""FORD""]","[""HALLOWEEN DECORATIONS"",""___ MAN SUPERHEROES"",""ARACHNIDS"",""SELECT, AS A BOX ON A FORM"",""KISS"",""IMPERIAL UNITS"",""BEST DIRECTOR OSCAR WINNERS""]"
485,485,"[""DITTO"",""SECOND"",""MOLE"",""AGENT"",""SANTA"",""FUR"",""DOWN"",""LOW""]","[""“AGREE!”"",""UNITS OF MEASURE"",""ONE INVOLVED IN ESPIONAGE"",""SECRET ___"",""___ BABY"",""ANIMAL COVERINGS"",""SYNONYMS FOR SAD""]"
486,486,"[""PLOD"",""LUMBER"",""APPLE"",""PLANET"",""MOON"",""HORSESHOE"",""HANDLEBAR"",""GEAR""]","[""WALK HEAVILY"",""___JACK"",""THINGS WITH CORES"",""CELESTIAL OBJECTS"",""LUCKY CHARMS MARSHMALLOWS"",""MUSTACHES"",""BIKE PARTS""]"
487,487,"[""WIND"",""WING"",""FRY"",""WONDER"",""SEA"",""ARE"",""SEE"",""CATCH""]","[""WIN + LETTER"",""APPETIZER UNIT"",""SMALL ___"",""MEMBERS OF A SEPTET"",""LETTER HOMOPHONES"",""WORDS ABBREVIATED WITH LETTERS""]"
488,488,"[""FOIL"",""JACKET"",""COVER"",""LID"",""CUP"",""QUART"",""NICK"",""DING""]","[""FENCING EQUIPMENT"",""PARTS OF A BOOK"",""COVERINGS"",""COFFEE COUNTER ITEMS"",""UNITS OF VOLUME"",""STARTS OF U.S. COINS"",""MAR""]"
489,489,"[""ROBE"",""CROWN"",""MELON"",""BEAN"",""PEANUT"",""CORN"",""BEET"",""CARDINAL""]","[""STATUE OF LIBERTY FEATURES"",""SLANG FOR HEAD"",""FOOD SLANG FOR HEAD"",""MR. ___"",""KINDS OF COOKING OIL"",""VEGETABLES"",""THINGS THAT ARE RED""]"
490,490,"[""BIG"",""GIANT"",""WOLF"",""SCARF"",""TIE"",""BOND"",""HUNT"",""STALK""]","[""ENORMOUS"",""FAIRY TALE FIGURES"",""SYNONYMS FOR EAT"",""NECKWEAR"",""CONNECTION"",""FICTIONAL SPIES"",""PURSUE""]"
491,491,"[""BANGER"",""JAM"",""CLOG"",""PUMP"",""BOOT"",""IRON"",""SPIDER"",""TICK""]","[""CATCHY SONG"",""OBSTRUCT"",""SHOES"",""FOOTWEAR"",""ORIGINAL MONOPOLY TOKENS"",""___ MAN SUPERHEROES"",""ARACHNIDS""]"
492,492,"[""DAISY"",""VIOLET"",""BROWN"",""RICE"",""NOTE"",""STAFF"",""ROD"",""TACKLE""]","[""FLOWERS"",""COLORS"",""UNIVERSITIES"",""STICKY ___"",""FOUND ON SHEET MUSIC"",""LONG, SKINNY OBJECTS"",""FISHING GEAR""]"
493,493,"[""CUTIE"",""ENVY"",""PRIDE"",""COLONY"",""SCHOOL"",""LIGHT"",""TORCH"",""CROWN""]","[""WORDS THAT SOUND LIKE TWO LETTERS"",""DEADLY SINS"",""ANIMAL GROUP NAMES"",""ANIMAL GROUPS"",""___ YEAR"",""IGNITE"",""STATUE OF LIBERTY FEATURES""]"
494,494,"[""ELEVATOR"",""PERFECT"",""FUTURE"",""COMMON"",""JOINT"",""PAD"",""POD"",""GREEN""]","[""___ PITCH"",""GRAMMAR TENSE TERMS"",""RAPPERS"",""SHARED"",""SLANG FOR HOME"",""WORDS WITH “i”"",""PEA ___""]"
495,495,"[""COT"",""SIN"",""SEA"",""ARE"",""YOU"",""US"",""W"",""ALLURE""]","[""TRIG FUNCTIONS"",""MEMBERS OF A SEPTET"",""LETTER HOMOPHONES"",""WORDS ABBREVIATED WITH LETTERS"",""PRONOUNS"",""MAGAZINES""]"
496,496,"[""CODE"",""AGENT"",""MOLE"",""SECOND"",""FLASH"",""STORM"",""REX"",""SPOT""]","[""SECRET ___"",""ONE INVOLVED IN ESPIONAGE"",""UNITS OF MEASURE"",""BLINK OF AN EYE"",""SUPERHEROES"",""T-___"",""CLASSIC DOG NAMES""]"
497,497,"[""MUSK"",""FUNK"",""SOUL"",""BAND"",""RING"",""SAW"",""GEAR"",""HANDLEBAR""]","[""STRONG SMELL"",""MUSIC GENRES"",""RUBBER ___"",""CIRCULAR SHAPES"",""HORROR FRANCHISES"",""THINGS WITH TEETH"",""BIKE PARTS""]"
498,498,"[""HOSE"",""TUBE"",""BOOK"",""SPLIT"",""GLASS"",""PAPER"",""ROCK"",""MET""]","[""HOLLOW CYLINDERS"",""SOCIAL MEDIA APP ENDINGS"",""DEPART QUICKLY"",""M. NIGHT SHYAMALAN MOVIES"",""RECYCLING CATEGORIES"",""ROCK PAPER SCISSORS"",""___ OPERA""]"
499,499,"[""LIGHT"",""MILD"",""DILL"",""ANISE"",""LICORICE"",""CHOCOLATE"",""HEART"",""KIDNEY""]","[""GENTLE"",""WORDS SPELLED WITH ROMAN NUMERALS"",""SPICES"",""PLANTS WITH SIMILAR FLAVORS"",""CANDY STORE TREATS"",""SEEN ON VALENTINE’S DAY"",""ORGANS""]"
500,500,"[""DELI"",""SOUL"",""FUNK"",""TANG"",""BITE"",""WAVE"",""SHAKE"",""MALT""]","[""CITY HOMOPHONES"",""MUSIC GENRES"",""STRONG SMELL"",""PIQUANCY"",""SOUND ___"",""GREETING GESTURES"",""SODA FOUNTAIN ORDERS""]"
501,501,"[""HERD"",""COLONY"",""SCHOOL"",""LIGHT"",""TORCH"",""CROWN"",""DOME"",""BOWL""]","[""ANIMAL GROUP NAMES"",""ANIMAL GROUPS"",""___ YEAR"",""IGNITE"",""STATUE OF LIBERTY FEATURES"",""SLANG FOR HEAD"",""SPORTS VENUES""]"
502,502,"[""BAND"",""SOUL"",""FUNK"",""TANG"",""BITE"",""WAVE"",""SHAKE"",""MALT""]","[""RUBBER ___"",""MUSIC GENRES"",""STRONG SMELL"",""PIQUANCY"",""SOUND ___"",""GREETING GESTURES"",""SODA FOUNTAIN ORDERS""]"
503,503,"[""BLACK"",""SPARROW"",""SILVER"",""STAR"",""DASH"",""BOLT"",""ZIP"",""TIFF""]","[""JACKS"",""FICTIONAL PIRATES"",""___ FISH THAT AREN’T FISH"",""___BOARD"",""RUN QUICKLY"",""MOVE QUICKLY"",""FILE EXTENSIONS""]"
504,504,"[""CIGARETTE"",""SPORTS"",""DUST"",""VACUUM"",""STRAW"",""LID"",""COVER"",""PAGE""]","[""“E-” THINGS"",""___ JACKET"",""CLEANING VERBS"",""THINGS THAT SUCK"",""COFFEE COUNTER ITEMS"",""COVERINGS"",""PARTS OF A BOOK""]"
505,505,"[""zoom"",""flash"",""hell"",""heel"",""face"",""brave"",""chrome"",""bard""]","[""DC speedsters"",""_ fire"",""h__l"",""wrestling terms"",""stand up to, as a challenge"",""browsers"",""Google products""]"
506,506,"[""CLAW"",""HUG"",""WAVE"",""BITE"",""ZIP"",""TIFF"",""ROW"",""PIE""]","[""BEAR ___"",""GREETING GESTURES"",""SOUND ___"",""PIQUANCY"",""FILE EXTENSIONS"",""SYNONYMS FOR ARGUMENT"",""HOMOPHONES OF GREEK LETTERS""]"
507,507,"[""PASTY"",""PIE"",""CAKE"",""COVER"",""PAGE"",""LEAF"",""BUD"",""MATE""]","[""FOODS WITH CRUSTS"",""DESSERTS"",""“C” WORDS FOR “ENVELOP”"",""PARTS OF A BOOK"",""PAPER IN A BOOK"",""FLOWER PARTS"",""FRIEND""]"
508,508,"[""FAN"",""BUFF"",""POLISH"",""JOB"",""MARK"",""FOOL"",""CON"",""HUSTLE""]","[""ENTHUSIAST"",""MANICURE STEPS"",""WORDS WITH TWO PRONUNCIATIONS"",""BIBLE BOOKS"",""TARGET OF A SCHEME"",""DECEIVE"",""SCAM""]"
509,509,"[""BASS"",""DESERT"",""FOREST"",""MINT"",""MANGO"",""BANANA"",""CANARY"",""RAT""]","[""HETERONYMS"",""BIOMES"",""SHADES OF GREEN"",""CHUTNEY VARIETIES"",""TROPICAL FRUITS"",""THINGS THAT ARE YELLOW"",""STOOL PIGEON""]"
510,510,"[""BADGE"",""TICKET"",""SPORTS"",""DUST"",""VACUUM"",""STRAW"",""LID"",""COVER""]","[""CREDENTIALS FOR ENTRY"",""“E-” THINGS"",""___ JACKET"",""CLEANING VERBS"",""THINGS THAT SUCK"",""COFFEE COUNTER ITEMS"",""COVERINGS""]"
511,511,"[""BUZZ"",""RING"",""SAW"",""GEAR"",""HANDLEBAR"",""HORSESHOE"",""MOON"",""PLANET""]","[""CONTACT VIA PHONE"",""HORROR FRANCHISES"",""THINGS WITH TEETH"",""BIKE PARTS"",""MUSTACHES"",""LUCKY CHARMS MARSHMALLOWS"",""CELESTIAL OBJECTS""]"
512,512,"[""HARRY"",""MET"",""CUB"",""KID"",""JOSH"",""ROB"",""PINCH"",""TAP""]","[""WHEN HARRY MET SALLY"",""M.L.B. TEAM MEMBER"",""BABY ANIMALS"",""PLAYFULLY BOTHER"",""NICKNAMES THAT ARE VERBS"",""THIEVE"",""TOUCHSCREEN GESTURES""]"
513,513,"[""BEACH BOY"",""BEATLE"",""AUNT"",""MOTHER"",""AIRPLANE"",""BIRD"",""FISH"",""HUNT""]","[""60’s BAND MEMBERS"",""INSECT HOMOPHONES"",""RELATIVES"",""MOVIES WITH “!”"",""THINGS WITH WINGS"",""VERTEBRATES"",""WAYS TO GATHER FOOD""]"
514,514,"[""APPEAL"",""PULL"",""SWAY"",""WAVE"",""BITE"",""ZIP"",""TIFF"",""ROW""]","[""ATTRACTION"",""INFLUENCE"",""MOVE BACK AND FORTH"",""SOUND ___"",""PIQUANCY"",""FILE EXTENSIONS"",""SYNONYMS FOR ARGUMENT""]"
515,515,"[""FLUFFY"",""REX"",""STORM"",""FLASH"",""SECOND"",""MOLE"",""AGENT"",""SANTA""]","[""CLASSIC DOG NAMES"",""T-___"",""SUPERHEROES"",""BLINK OF AN EYE"",""UNITS OF MEASURE"",""ONE INVOLVED IN ESPIONAGE"",""SECRET ___""]"
516,516,"[""BARBECUE"",""SNAKE"",""DOG"",""ARROW"",""BOW"",""STERN"",""KING"",""QUEEN""]","[""___ PIT"",""BADDIE"",""“POINTERS”"",""ARCHERY EQUIPMENT"",""SHIP DIRECTIONS"",""RADIO HALL OF FAME MEMBERS"",""MATTRESS SIZES""]"
517,517,"[""CIRCLE"",""HORSESHOE"",""HANDLEBAR"",""GEAR"",""SAW"",""RING"",""TRAIN"",""CAR""]","[""SHAPES OF CAPITAL GREEK LETTERS"",""MUSTACHES"",""BIKE PARTS"",""THINGS WITH TEETH"",""HORROR FRANCHISES"",""BRIDAL ACCESSORIES"",""MODES OF TRANSPORTATION""]"
518,518,"[""CADET"",""BAR"",""BELL"",""GHOST"",""SPIRIT"",""STEAM"",""STATE"",""CATFISH""]","[""SPACE ___"",""SLOT MACHINE SYMBOLS"",""___ PEPPER"",""APPARITIONS"",""ENERGY"",""HEAD OF ___"",""MTV SHOWS""]"
519,519,"[""COPPER"",""SILVER"",""STAR"",""DASH"",""BOLT"",""ZIP"",""TIFF"",""ROW""]","[""METAL ELEMENTS"",""___ FISH THAT AREN’T FISH"",""___BOARD"",""RUN QUICKLY"",""MOVE QUICKLY"",""FILE EXTENSIONS"",""SYNONYMS FOR ARGUMENT""]"
520,520,"[""ENVY"",""PRIDE"",""COLONY"",""SCHOOL"",""LIGHT"",""TORCH"",""CROWN"",""DOME""]","[""DEADLY SINS"",""ANIMAL GROUP NAMES"",""ANIMAL GROUPS"",""___ YEAR"",""IGNITE"",""STATUE OF LIBERTY FEATURES"",""SLANG FOR HEAD""]"
521,521,"[""BOLT"",""DASH"",""STAR"",""SILVER"",""SPARROW"",""MA"",""OK"",""W""]","[""RUN QUICKLY"",""___BOARD"",""___ FISH THAT AREN’T FISH"",""FICTIONAL PIRATES"",""JACKS"",""STATE ABBREVIATIONS"",""MAGAZINES""]"
522,522,"[""ACTS"",""JOB"",""POLISH"",""FILE"",""SAW"",""RING"",""TRAIN"",""CAR""]","[""BIBLE BOOKS"",""WORDS WITH TWO PRONUNCIATIONS"",""MANICURE STEPS"",""TOOLS"",""HORROR FRANCHISES"",""BRIDAL ACCESSORIES"",""MODES OF TRANSPORTATION""]"
523,523,"[""BALL"",""KICK"",""TOM"",""BULL"",""SCALES"",""DOWN"",""LOW"",""SHORT""]","[""FUN TIME"",""DRUM SET COMPONENTS"",""MALE ANIMALS"",""ZODIAC SYMBOLS"",""ANIMAL COVERINGS"",""SYNONYMS FOR SAD"",""INSUFFICIENT""]"
524,524,"[""KICK"",""BITE"",""WAVE"",""SHAKE"",""MALT"",""CUB"",""KID"",""JOSH""]","[""PIQUANCY"",""SOUND ___"",""GREETING GESTURES"",""SODA FOUNTAIN ORDERS"",""COUNTRIES WHEN “A” IS ADDED"",""BABY ANIMALS"",""PLAYFULLY BOTHER""]"
525,525,"[""CANDLE"",""SEAL"",""WHITE"",""BLUE"",""LOW"",""SHORT"",""SPARE"",""COPY""]","[""THINGS MADE OF WAX"",""GREAT ___"",""COLORS IN BRAZIL’S FLAG"",""SYNONYMS FOR SAD"",""INSUFFICIENT"",""SPARSE/LACKING"",""REPLACEMENT""]"
526,526,"[""E"",""BET"",""STAKE"",""MIRROR"",""PARROT"",""COPY"",""CUT"",""TRACK""]","[""CABLE CHANNELS"",""WAGER"",""ANTI-VAMPIRE"",""IMITATE"",""SYNONYMS FOR IMITATE"",""EDIT MENU COMMANDS"",""SONG""]"
527,527,"[""BIG"",""IN"",""BOOK"",""SPLIT"",""GLASS"",""PAPER"",""ROCK"",""MET""]","[""OF-THE-MOMENT"",""SOCIAL MEDIA APP ENDINGS"",""DEPART QUICKLY"",""M. NIGHT SHYAMALAN MOVIES"",""RECYCLING CATEGORIES"",""ROCK PAPER SCISSORS"",""___ OPERA""]"
528,528,"[""ASSESS"",""FINE"",""STERLING"",""REAL"",""AWFUL"",""SUPER"",""SPIDER"",""TICK""]","[""IMPOSE, AS A PENALTY"",""EXCELLENT"",""WORLD CURRENCIES"",""ADJECTIVE INTENSIFIERS"",""EXTREMELY"",""___ MAN SUPERHEROES"",""ARACHNIDS""]"
529,529,"[""CATERER"",""BAND"",""SOUL"",""FUNK"",""TANG"",""BITE"",""WAVE"",""SHAKE""]","[""BOOKED FOR A WEDDING"",""RUBBER ___"",""MUSIC GENRES"",""STRONG SMELL"",""PIQUANCY"",""SOUND ___"",""GREETING GESTURES""]"
530,530,"[""SEE"",""ARE"",""SEA"",""WONDER"",""FRY"",""WING"",""BRANCH"",""TRUNK""]","[""WORDS ABBREVIATED WITH LETTERS"",""LETTER HOMOPHONES"",""MEMBERS OF A SEPTET"",""SMALL ___"",""APPETIZER UNIT"",""DIVISION"",""TREE FEATURES""]"
531,531,"[""IBEX"",""FOX"",""PEANUT"",""CORN"",""BEET"",""CARDINAL"",""JAY"",""BEE""]","[""ANIMALS THAT END WITH “X”"",""MR. ___"",""KINDS OF COOKING OIL"",""VEGETABLES"",""THINGS THAT ARE RED"",""BIRDS""]"
